ZIP Code,% Within City,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,2013 Total,Total Within ZIP Code
30303,1.0000000000002018,18868.8,20915.1,18314.9,10153.1,6650.7,5416.5,5600.6,5890.1,6125.6,6956.7,13370.8,21483.3,139746.20000000001,139746.20000002821
30305,1.0000000000000955,998657.8,1088713.6,974655.7,632162.7,290041.2,213063,192138.5,192490.5,214943.3,216489.9,524285.5,1009714.6,6547356.2999999998,6547356.3000006247
30306,0.73382073673994308,896481.6,1019678.8,865298,371242,191350.1,134307.2,122127.5,124444.1,121032.40000000001,169838.8,595002.5,957015.5,5567818.5,4085780.6737042847
30307,0.63471897963204738,743976.6,746488.6,693990.5,328930.8,152953.3,100635.6,89222.7,86754.2,91788.4,120443.59999999999,412143.39999999997,715828.9,4283156.6000000006,2718600.7867562696
30308,0.99999999999972766,266578.4,308072,266353.8,114939.8,76180.3,56623.1,58865.8,60649.2,59303.2,86988.4,187330.8,345420.7,1887305.5,1887305.4999994859
30309,1.0000000000029903,456365.9,553263,456581.2,249669.9,119301.6,80809.6,75670.6,73595.5,92134.3,97443.59999999999,277029.8,504934,3036799,3036799.0000090809
30310,0.99981447315587935,672060.5,640194.5,789011.8,576854.4,214422.5,129699.2,78994.4,105486.2,101714.4,92334.6,210132.4,603704.1,4214609,4213827.0768930279
30311,0.98968586472132614,866000.2,817159.7,1059106.4,767206.9,293611,192842.5,107622.1,115533.9,176417.4,120863.1,287203.3,846960.2999999999,5650526.7999999998,5592246.5021890281
30312,1.0000000000001916,397696,359978.6,417960.7,256148.9,92411.3,57395.9,53265,61270.4,50694.6,59293.6,147530.1,349660.7,2303305.8000000003,2303305.8000004417
30313,0.99999999999862021,49732.4,57653.5,51145.6,26370.8,19954.9,17078.4,17931.3,16674.8,15570.300000000001,19403.6,31180.3,51060.7,373756.59999999992,373756.5999994842
30314,0.99999999999993427,302390.4,375371.2,387416.8,350790.5,145832.4,83583.2,56076.2,50724.8,47451.1,47900.4,118667.5,235381.2,2201585.7000000002,2201585.6999998554
30315,0.9538606552735116,571825.6,495249.9,594455.2,423926.2,158519.3,98496.5,85473.2,102885.4,75728.1,96337.59999999999,235788,425722.5,3364407.5,3209175.942557117
30316,0.28779358110687492,988436.1,814647.3,1060478,671704,241217.7,137876.9,116018,117854.1,122843.8,116158.2,282675.1,818467.6,5488376.7999999998,1579519.6137358905
30317,0.85062336970878982,434505.4,402160.5,435174,237629.6,94094,50891.3,45380.3,42224.5,43747.9,54753.6,183858.80000000002,384156.3,2408576.2000000002,2048791.2034443922
30318,0.99893940528767255,947448.5,1073170,1087563.8,959598.9,350213.4,221471.9,143639.4,162054.2,138862.6,163942.8,367428.10000000003,944069.5,6559463.0999999996,6552506.1681204326
30319,0.1115094949667999,1380197.5,1332898.8,1521507.7,1037252.1,403613.3,277796,218159.7,214197.6,213343.5,250456.09999999998,527823.2,1200329,8577574.5,956481.00053510116
30324,0.75789451844754385,610520.6,637937.9,553929.5,279115,139640.9,102888,98565.2,93013.1,105001.1,115586,355702.2,619844.7999999999,3711744.3000000003,2813110.6588489162
30326,1.0000000000002311,31279.8,31530.4,31495.7,17601.5,9794,6758.8,5608,5087.3,5639.2,8779.9,15023.199999999999,29006.199999999997,197604,197604.00000004566
30327,0.62064230944238463,1442003.2,1402799.2,1731050.9,1236291.1,511894.4,431492,305262.9,301979.6,395400.3,326344.60000000003,557576.5,1547588.5,10189683.199999999,6324148.513734268
30331,0.53041280423651627,1610649,1659920.8,1741830.7,1332854.6,478774,306986.9,219006.6,220464.7,233601.59999999998,249101.6,625562.2000000001,1519899.8,10198652.5,5409495.8719587568
30336,6.8981224960983828E-2,2391.2,2925.4,3412.6,2518.4,568.7,302.3,167.9,219.1,179.1,229.9,575.9,2428.2,15918.7,1098.0914257864133
30342,0.45857640577676001,1098674.1,941257.6,1195151.2,799997.1,308778,239494.6,188530,222919.8,232201.4,204600,370331.7,1018028.2,6819963.7000000002,3127474.4410739737
30354,0.59036960501484137,336540.1,303351.5,317661.2,216038.3,87174.5,55403.4,51803.6,47526.3,46240.2,58608.399999999994,144223.9,292847.7,1957419.0999999999,1155600.7409155061
30363,1.0000000175134447,8648.3,13120.6,12312.9,11579.9,4045.1,2765,1829.8,1642.4,1444.6,2150.1000000000004,2790.2,6100.7,68429.600000000006,68429.601198438017
