ZIP Code,Residential,Commercial,Industrial,Muni Lighting
30032,203273327,134329896,6747807,758173
30303,20023698,1185605638,11653533,58321820
30305,198952373,381161089,6126778,167652
30306,137950958,192013143,433355,105708
30307,106710949,81188858,16476459,138984
30308,97906983,393468927,1718688,354984
30309,167415816,667274899,193860,2286804
30310,132913769,186238394,44795793,457200
30311,167429778,64394079,55000,620400
30312,119118408,127921138,1521178,893067
30313,25457615,476034563,1246333,629712
30314,79404717,103216401,8982276,234876
30315,134878618,158859911,8763867,544252
30316,156487621,100080563,11195696,225347
30317,66979965,27487577,22440,167700
30318,245942576,707568153,210985833,1201894
30319,237292748,201034381,166554,1633755
30324,160310337,213286020,15989326,1269276
30326,41852328,293089931,0,1791487
30327,239383541,150416018,92408,248484
30331,216603801,123516310,66210759,613920
30334,0,11755405,0,105936
30336,164282,215290681,270838806,905474
30342,191344946,325454240,178649,907437
30354,64598510,423989446,129114938,1217997
30363,9853374,71319004,0,0
