Month,Trash,Recycling,Yard Debris,Total Waste,Waste Diverted,Diversion Rate
42005,9049.0700000000015,1394.05,1812.37,12255.490000000002,3206.42,0.26163131788284266
42036,7406.4499999999989,1126.28,954.51,9487.24,2080.79,0.21932511457494488
42064,7277.88,1426.21,1898.5800000000002,10602.67,3324.79,0.31358044718924571
42095,9862.75,1370.84,2250.5099999999998,13484.1,3621.3499999999995,0.26856445739797236
42125,8977.4299999999985,1233.28,2033.05,12243.759999999998,3266.33,0.26677507563036196
42156,9750.39,1152.48,1937.3,12840.169999999998,3089.7799999999997,0.24063388568842936
42186,9836.9300000000021,1130.8800000000001,1737.6900000000003,12705.500000000002,2868.5700000000006,0.22577387745464564
42217,9802.9799999999977,1190.8900000000001,1887.79,12881.659999999996,3078.6800000000003,0.23899714788311455
42248,9171.4800000000032,1257.42,1723.29,12152.190000000002,2980.71,0.24528171465390183
42278,8864.5,1278.93,1951.15,12094.58,3230.08,0.26706838931157595
42309,9513.9600000000009,1380.33,3717.87,14612.16,5098.2,0.34890118914657381
42339,8861.4699999999975,1569.66,2685.4500000000003,13116.579999999998,4255.1100000000006,0.32440697193933182
