ZIP Code,"% inside
 CoA","Residential
 Total","Residential
 inside CoA","Comercial
 Total","Commercial
 inside CoA","Industrial
 Total","Industrial
 inside CoA","Muni. Lighting
 Total","Muni. Lighting
 inside CoA",Total Inside CoA
30032,2.8815555248740854E-2,203273327,5857433.7847638661,134329896,3870790.539745613,6747807,194441.80541634027,758173,21847.175969603599,9944513.3058954235
30303,1.0000000000002018,20023698,20023698.000004042,1185605638,1185605638.0002394,11653533,11653533.000002353,58321820,58321820.000011772,1275604689.0002575
30305,1.0000000000000955,198952373,198952373.00001898,381161089,381161089.00003642,6126778,6126778.0000005849,167652,167652.00000001601,586407892.00005603
30306,0.73382073673994308,137950958,101231273.63354094,192013143,140903226.06001204,433355,318004.88536993804,105708,77570.7224393059,242530075.30136222
30307,0.63471897963204738,106710949,67731464.664847448,81188858,51532109.10725119,16476459,10457921.244429264,138984,88215.782665180479,129809710.79919308
30308,0.99999999999972766,97906983,97906982.999973342,393468927,393468926.99989283,1718688,1718687.999999532,354984,354983.99999990332,493449581.99986565
30309,1.0000000000029903,167415816,167415816.00050062,667274899,667274899.00199533,193860,193860.00000057969,2286804,2286804.0000068382,837171379.0025034
30310,0.99981447315587935,132913769,132889109.92789724,186238394,186203841.77850708,44795793,44787482.177894831,457200,457115.17712686805,364337549.06142604
30311,0.98968586472132614,167429778,165702884.62002966,64394079,63729909.758048385,55000,54432.72255967294,620400,614001.11047311069,230101228.21111083
30312,1.0000000000001916,119118408,119118408.00002283,127921138,127921138.00002451,1521178,1521178.0000002915,893067,893067.00000017113,249453791.0000478
30313,0.99999999999862021,25457615,25457614.999964874,476034563,476034562.99934316,1246333,1246332.9999982803,629712,629711.99999913108,503368222.99930549
30314,0.99999999999993427,79404717,79404716.999994785,103216401,103216400.99999322,8982276,8982275.9999994095,234876,234875.99999998457,191838269.99998739
30315,0.9538606552735116,134878618,128655406.94786565,158859911,151530218.80315173,8763867,8359507.9193499042,544252,519140.56935391924,289064274.23972118
30316,0.28779358110687492,156487621,45036132.846485406,100080563,28802543.624962203,11195696,3222049.4448239151,225347,64853.420121690942,77125579.336393207
30317,0.85062336970878982,66979965,56974723.5312768,27487577,23381575.372869827,22440,19087.988416265245,167700,142649.53910016405,80518036.431663051
30318,0.99893940528767255,245942576,245681730.6043582,707568153,706817709.95831692,210985833,210762062.54114419,1201894,1200619.2775788219,1164462122.3813982
30319,0.1115094949667999,237292748,26460394.488764118,201034381,22417242.296273235,166554,18572.352424700392,1633755,182179.19494948417,49078388.332411543
30324,0.75789451844754385,160310337,121498325.66277847,213286020,161648305.4194932,15989326,12118222.529070793,1269276,961977.32279702462,296226830.93413949
30326,1.0000000000002311,41852328,41852328.000009671,293089931,293089931.00006777,0,0,1791487,1791487.0000004142,336733746.00007784
30327,0.62064230944238463,239383541,148571553.72873577,150416018,93354544.788647294,92408,57352.31453095188,248484,154219.68361948151,242137670.51553351
30331,0.53041280423651627,216603801,114889429.49669832,123516310,65514632.356046855,66210759,35119034.351818159,613920,325631.02877688204,215848727.2333402
30334,1,0,0,11755405,11755405,0,0,105936,105936,11861341
30336,6.8981224960983828E-2,164282,11332.373599040346,215290681,14851014.898064407,270838806,18682792.604850255,905474,62460.705690321869,33607600.582204022
30342,0.45857640577676001,191344946,87746277.600228235,325454240,149245635.62400705,178649,81924.216315612401,907437,416129.19792884577,237489966.63847977
30354,0.59036960501484137,64598510,38136996.833247282,423989446,250310481.76548141,129114938,76225534.948575735,1217997,719068.40779926174,365392081.9551037
30363,1.0000000175134447,9853374,9853374.1725665201,71319004,71319005.249041438,0,0,0,0,81172379.421607956
