zip,gas.total,gas.emiss
30303,517577.1000001045,2744.193784200554
30305,8044734.100000768,42653.18019820407
30306,14380690.848458558,76246.42287852729
30307,5519972.609826639,29266.894777300844
30308,4584608.199998751,24307.592676393382
30309,7732563.200023122,40998.0500865226
30310,8944080.325089477,47421.51388362441
30311,11279840.92408269,59805.71657948643
30312,5496240.800001053,29141.068721605585
30313,4184683.399994226,22187.191386769387
30314,6502392.699999573,34475.68609539774
30315,13486328.375622986,71504.51304755308
30316,3813991.570899671,20221.783308910057
30317,11999885.845522303,63623.394752959255
30318,11885250.382838517,63015.59752980982
30319,1456428.5245177376,7721.984036993045
30324,4655932.241506444,24685.75274446717
30326,6667475.300001541,35350.95404060817
30327,7268957.949243426,38540.01504688865
30331,7122824.597864906,37765.216017879735
30336,293209.8909829013,1554.5988419913429
30342,7117298.052884617,37735.914276394244
30354,2281370.7550961785,12095.82774351994
30363,998398.917485404,5293.5110605076125
